dataHoraFim,dataHoraInicio,descricao,descricaoTipo,id,localCamara,localExterno,orgaos,situacao,uri,urlRegistro
null,2026-05-06T14:00,"V Seminário Trabalhista do Transporte Rodoviário de Cargas
 Requerimento nº 10/2025, de autoria do Deputado Luiz Gastão

 
Das 14h às 14h30 - Solenidade de Abertura

Convidados para compor a mesa:
Deputado Hugo Mota - Presidente da Câmara dos Deputados
Deputado Max Lemos - Presidente da Comissão de Trabalho
Deputado Luiz Gastão - Autor do requerimento 
Rafaele Rodrigues Mascarenhas Menezes - Coordenadora - Geral de Relações do Trabalho do Ministério do Trabalho e Emprego - MTE
Vander Francisco Costa - Presidente da Confederação Nacional do Transporte - CNT
Eduardo Ferreira Rebuzzi - Presidente da Associação Nacional do Transporte de Cargas e Logística - NTC & Logística
Valdir de Souza Pestana - Presidente da Confederação Nacional dos Trabalhadores em Transportes Terrestres - CNTT

Das 14h30 às 16h30 - 1º Painel
 
Tema: A Inteligência Artificial nos julgamentos e as Provas Digitais 
Presidente da Mesa: Deputado Luiz Gastão - Autor do requerimento
Palestrante 1: Ana Paula Silva Campos Miskulin - Juíza do Trabalho do TRT/15ª Região
Palestrante 2: Otavio Torres Calvet - Juiz do Trabalho do TRT/1ª Região
Palestrante 3: Sérgio Schwartsman - Assessor Jurídico da Federação Nacional da Distribuição de Veículos Automotores - FENABRAVE, e da Federação Nacional dos Concessionários e Distribuidores de Veículos - FENACODIV

Das 16h00 às 18h30 - 2º Painel

Tema: Redução da Jornada de Trabalho 
Presidente da Mesa: Deputado Max Lemos - Presidente da Comissão de Trabalho
Palestrante 1: Deputado Leo Prates - Relator da PEC 221/2019 e da PEC 08/2025
Palestrante 2: Lucas Reis da Silva - Diretor do Sindicato Nacional dos Auditores Fiscais do Trabalho - SINAIT
Palestrante 3:  Alberto Nemer Neto - Advogado
Palestrante 4: Paulo Douglas Almeida Moraes - Procurador do Trabalho -  MPT
Palestrante 5: Narciso Figueirôa Junior - Assessor Jurídico da NTC & Logística
  
18h30 - Encerramento",Seminário,81105,"{""nome"":""Auditório Nereu Ramos"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CTRAB"",""nomePublicacao"":""Comissão de Trabalho"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/2015"",""codTipoOrgao"":""2"",""nomeResumido"":""Trabalho"",""id"":""2015"",""apelido"":""Trabalho"",""nome"":""Comissão de Trabalho""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81105,null
null,2026-05-05T10:00,Comemoração dos 70 anos da indústria automotiva no Brasil,Sessão Não Deliberativa Solene,81276,"{""nome"":""Plenário do Senado Federal"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Órgão do Congresso Nacional"",""sigla"":""CN"",""nomePublicacao"":""CN"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/111"",""codTipoOrgao"":""81001"",""nomeResumido"":""Congresso Nacional"",""id"":""111"",""apelido"":""CONGRESSO NACIONAL"",""nome"":""CONGRESSO NACIONAL""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81276,null
null,2026-05-06T14:00,"Papel das Ouvidorias no fortalecimento da democracia e combate à desinformação. 
 (REQ 7/2026 CCOM, do deputado Gilson Daniel)

1) CIRO NOGUEIRA (a Confirmar)
   Ouvidor
   Senado Federal

2) GISELLI BALLESTRASSI (a Confirmar)
   Ouvidora-Geral
   Ouvidoria do Estado do Espírito Santo

3) LUCIANA BERTACHINI (a Confirmar)
   Representante
   Associação Brasileira de Ouvidores (ABO)

4) MARÍLIA POLETTI (a Confirmar)
   Presidente
   Sindicato dos Jornalistas Profissionais do Estado do Espírito Santo

5) TANIA MARIA BARBOSA (a Confirmar)
   Representante
   Superintendência Estadual de Comunicação Social do Espírito Santo",Audiência Pública,81285,"{""nome"":""Anexo II, Plenário 11"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CCOM"",""nomePublicacao"":""Comissão de Comunicação"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/539385"",""codTipoOrgao"":""2"",""nomeResumido"":""Comunicação"",""id"":""539385"",""apelido"":""Comunicação"",""nome"":""Comissão de Comunicação""}]",Cancelada,https://dadosabertos.camara.leg.br/api/v2/eventos/81285,null
null,2026-05-05T14:00,"Práticas abusivas de concessionárias de água e esgoto contra hotéis e pousadas 
 REQ 7/2026 CDC Dep. Paulo Pimenta; e
REQ 11/2026 CDC, Dep. Carlos Sampaio

CONVIDADOS

Ricardo Morishita Wada
Secretário Nacional do Consumidor do Ministério da Justiça - Senacon;

Cristiane Collet Battiston  - CONFIRMADO PRESENCIAL
Diretora da Agência Nacional de Águas e Saneamento Básico - ANA;

Cesar Faccioli - CONFIRMADO PRESENCIAL
Diretor de Relações Institucionais da CORSAN -  Aegea Saneamento e Participacoes S.A.;

Lucas Salomón da Silva Fuhr - CONFIRMADO REMOTO
Conselheiro-Presidente Substituto da Agencia Estadual de Regulacao dos Servicos Publicos Delegados do Rio Grande do Sul - Agergs;

Matheus Junges - CONFIRMADO PRESENCIAL
Presidente da Associacao Gaucha dos Consumidores de Agua, Esgoto e Energia;

Ivone Ferraz Teixeira - CONFIRMADA PRESENCIAL
Presidente do Sindicato dos Hotéis, Restaurantes, Bares e Similares do Litoral Norte e Região de Osório/RS - SHRBS-LN,  representando a Confederação Nacional do Comércio de Bens, Serviços e Turismo - CNC

Felipe Cascaes Sabin Bresciani - CONFIRMADO PRESENCIAL
Diretor Jurídico e Legislativo da Associação Brasileira das Empresas de Saneamento ABCON SINDCON",Audiência Pública,81414,"{""nome"":""Anexo II, Plenário 10"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CDC"",""nomePublicacao"":""Comissão de Defesa do Consumidor"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/2004"",""codTipoOrgao"":""2"",""nomeResumido"":""Consumidor"",""id"":""2004"",""apelido"":""Defesa do Consumidor"",""nome"":""Comissão de Defesa do Consumidor""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81414,null
null,2026-05-06T09:00,"XXV Seminário Brasileiro do Transporte Rodoviário de Cargas no Brasil
 (REQ 1/2026 CVT do deputado Gilberto Abramo). 

XXV Seminário Brasileiro do Transporte Rodoviário de Cargas

Mesa de Abertura

. Deputado HUGO MOTTA - Presidente da Câmara dos Deputados (A confirmar)

. Deputado CLÁUDIO CAJADO - Presidente da Comissão de Viação e Transportes (Confirmado)

. Deputado GILBERTO ABRAMO - Autor do Requerimento para realização do XXV Seminário Brasileiro do Transporte Rodoviário de Cargas (Confirmado)

. ANDERSON LESSA - Diretor de Programa da Secretaria Nacional de Transporte Rodoviário e ANDERSON BELLAS, Coordenador-Geral da Secretaria Nacional de Transporte Rodoviário do Ministério dos Transportes (Confirmados)

. VANDER COSTA - Presidente do Sistema Transporte (Confirmado)

. EDUARDO F. REBUZZI - Presidente da Associação Nacional do Transporte de Cargas & Logística - NTC&Logística (Confirmado)

. GUILHERME THEO RODRIGUES DA ROCHA SAMPAIO - Diretor-Geral da ANTT (Confirmado)


1º PAINEL -  10h às 11h 

SEGURO NO TRANSPORTE RODOVIÁRIO DE CARGAS: A APLICAÇÃO DA 14.599/2023 NA PRÁTICA - INSEGURANÇA JURÍDICA, CONFLITOS INTERPRETATIVOS E SEUS REFLEXOS PARA OS TRANSPORTADORES.

Presidente da Mesa:
. Deputado CLÁUDIO CAJADO - Presidente da Comissão de Viação e Transportes (Confirmado)

Coordenador:
. EDUARDO F. REBUZZI - Presidente da NTC&Logística (Confirmado);

Palestrantes Convidados:

. MARCOS SIQUEIRA-  Presidente da Comissão de Transportes da FenSeg - FenSeg;(Confirmado)

. MARCOS AURÉLIO RIBEIRO -  Diretor Jurídico da NTC&Logística; (Confirmado)

. JOSÉ AIRES AMARAL FILHO -  Superintendente de Serviços de Transporte Rodoviário e Multimodal de Cargas - ANTT (Confirmado)


2º PAINEL - 11h às 12h

LEI DO PISO MÍNIMO DE FRETE 13.703/2018:
ENTRE A REGULAÇÃO E A REALIDADE DO TRC - ANÁLISE DAS DISTORÇÕES INTERPRETATIVAS, ENTRAVES JURÍDICOS E SEUS REFLEXOS NO MERCADO.

Presidente da Mesa
. Deputado CLÁUDIO CAJADO - Presidente da Comissão de Viação e Transportes (Confirmado)

Coordenador:
. EDUARDO F. REBUZZI - Presidente da NTC&Logística

Palestrantes Convidados:

. GUILHERME THEO RODRIGUES DA ROCHA SAMPAIO - Diretor-Geral da ANTT

. LUÍS HENRIQUE TEIXEIRA BALDEZ - Presidente da Associação Nacional dos Usuários do Transporte de Cargas - ANUT (Confirmado)

. PAULA BOGOSSIAN - Analista de Políticas e Indústria da Confederação Nacional da Indústria - CNI (Confirmada)

. RODRIGO DE OLIVEIRA KAUFMANN -  Consultor Jurídico da Confederação Nacional da Agricultura e Pecuária do Brasil - CNA (Confirmado)

. JOSÉ AIRES AMARAL FILHO -  Superintendente de Serviços de Transporte Rodoviário e Multimodal de Cargas - ANTT (Confirmado)

. JOSÉ ROBERTO TADROS -  Presidente da Confederação Nacional do Comércio de Bens, Serviços e Turismo - CNC (A confirmar)


12h - ENCERRAMENTO",Seminário,81442,"{""nome"":""Auditório Nereu Ramos"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CVT"",""nomePublicacao"":""Comissão de Viação e Transportes"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/2016"",""codTipoOrgao"":""2"",""nomeResumido"":""Viação e Transportes"",""id"":""2016"",""apelido"":""Viação e Transportes"",""nome"":""Comissão de Viação e Transportes""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81442,null
null,2026-05-05T09:00,"Homenagem ao Dia Internacional do Trabalho
 Homenagem ao Dia Internacional do Trabalho",Sessão Não Deliberativa Solene,81489,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81489,null
null,2026-05-12T09:00,"Homenagem aos Bois do Festival Folclórico de Parintins, Município do Estado do Amazonas
 Homenagem aos Bois do Festival Folclórico de Parintins, Município do Estado do Amazonas",Sessão Não Deliberativa Solene,81491,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Agendada,https://dadosabertos.camara.leg.br/api/v2/eventos/81491,null
null,2026-05-12T11:00,"Homenagem aos 341 anos de existência da Irmandade de Nossa Senhora do Rosário dos Homens Pretos
 Homenagem aos 341 anos de existência da Irmandade de Nossa Senhora do Rosário dos Homens Pretos",Sessão Não Deliberativa Solene,81492,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Agendada,https://dadosabertos.camara.leg.br/api/v2/eventos/81492,null
null,2026-05-06T16:30,Apresentação do relatório final,Reunião,81521,"{""nome"":""A Definir"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Subcomissão"",""sigla"":""SUBALFA"",""nomePublicacao"":""Subcomissão Especial dos Estudantes com Transtornos de Aprendizagem (CE/SUBALFA)"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/539786"",""codTipoOrgao"":""25"",""nomeResumido"":""Educação"",""id"":""539786"",""apelido"":""CE - Estudantes com Transtornos de Aprendizagem"",""nome"":""Subcomissão Especial para tratar dos Desafios da Alfabetização de Estudantes com Transtornos de Aprendizagem""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81521,null
null,2026-05-07T10:00,Apresentação do relatório final,Reunião,81522,"{""nome"":""Anexo II, Plenário 10"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Subcomissão"",""sigla"":""SUBCLIMA"",""nomePublicacao"":""Subcomissão Especial de Climatização nas escolas públicas (CE/SUBCLIMA)"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/539789"",""codTipoOrgao"":""25"",""nomeResumido"":""Educação"",""id"":""539789"",""apelido"":""CE - Climatização nas escolas públicas"",""nome"":""a Subcomissão Especial para tratar de Climatização nas Escolas""}]",Cancelada,https://dadosabertos.camara.leg.br/api/v2/eventos/81522,null
null,2026-05-06T10:00,Discussão e votação de propostas legislativas.,Reunião Deliberativa,81567,"{""nome"":""Anexo II, Plenário 09"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CFFC"",""nomePublicacao"":""Comissão de Fiscalização Financeira e Controle"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/2011"",""codTipoOrgao"":""2"",""nomeResumido"":""Fiscalização Financeira"",""id"":""2011"",""apelido"":""Fiscalização Financeira e Controle"",""nome"":""Comissão de Fiscalização Financeira e Controle""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81567,null
null,2026-05-11T10:00,"Homenagem aos 217 anos da Polícia Militar do Distrito Federal - PMDF
 Homenagem aos 217 anos da Polícia Militar do Distrito Federal - PMDF",Sessão Não Deliberativa Solene,81582,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Agendada,https://dadosabertos.camara.leg.br/api/v2/eventos/81582,null
null,2026-05-06T10:00,Homenagem aos 200 anos da Câmara dos Deputados,Sessão Não Deliberativa Solene,81587,"{""nome"":""Plenário da Câmara dos Deputados"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Plenário Virtual"",""sigla"":""PLEN"",""nomePublicacao"":""Plenário"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/180"",""codTipoOrgao"":""26"",""nomeResumido"":""Plenário"",""id"":""180"",""apelido"":""Plenário"",""nome"":""Plenário""}]",Agendada,https://dadosabertos.camara.leg.br/api/v2/eventos/81587,null
null,2026-05-12T16:00,"Impacto da regulação da proteção patrimonial mutualista no transporte de carga
 (REQ 39/2026 CVT, da deputada Rosana Valle, subscrito pela deputada Greyce Elias)

Convidados:

. SEBASTIÃO CAMARGOS DUTRA FILHO - Conselheiro da Liga Independente do Transporte. 

. LUIS FERNANDO AUGUSTO - Advogado e Diretor Jurídico da FAN - Força Associativa Nacional. 

. HENRIQUE MULATI DE FARIA - Presidente da Federação Liga Independente do Transporte. (confirmado)

. FRANCIELI PERUZZO - Representante das Associações Regionais de Caminhoneiros. 

. ROBSON LUÍS DA SILVA JÚNIOR - Transportador Autônomo e Conselheiro da Liga Independente.

. LUIZ CARLOS NEVES - Presidente da FENACAT;

. ALESSANDRO SERAFIN OCTAVIANI LUIS - Superintendente da SUSEP

. CARLOS ROBERTO ALVES DE QUEIROZ - Diretor de Supervisão Prudencial e de Resseguros - SUSEP.",Audiência Pública,81624,"{""nome"":""Anexo II, Plenário 11"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CVT"",""nomePublicacao"":""Comissão de Viação e Transportes"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/2016"",""codTipoOrgao"":""2"",""nomeResumido"":""Viação e Transportes"",""id"":""2016"",""apelido"":""Viação e Transportes"",""nome"":""Comissão de Viação e Transportes""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81624,null
null,2026-05-06T14:00,Estágio-Visita,Reunião Técnica,81636,"{""nome"":""Anexo II, Plenário 04"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Órgão da Câmara dos Deputados"",""sigla"":""EVENTOS"",""nomePublicacao"":""Câmara dos Deputados - Outros Eventos"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/100950"",""codTipoOrgao"":""12000"",""nomeResumido"":null,""id"":""100950"",""apelido"":""Outros Eventos"",""nome"":""Eventos""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81636,null
null,2026-05-05T14:00,"Discussão e votação de propostas legislativas e audiência pública sobre os impactos do uso do mercúrio
 REQ nº 6/2026, de autoria da Deputada Dilvanda Faro.

Convidados:

ANDRÉ LUIZ PORRECA FERREIRA CUNHA - presença confirmada
Procuradoria da República no Estado do Amazonas - Ministério Público Federal - MPF

EDUARDO SIDNEY SERRA FILHO - presença confirmada
GT ""Trabalho Decente na Mineração"" e Fórum Paraense de Combate aos Impactos da Contaminação Mercurial na Bacia do Tapajós - Ministério Público do Trabalho - MPT

PAULO CESAR BASTA - presença confirmada
Fundação Oswaldo Cruz - Fiocruz

DINAMAN TUXÁ  - presença confirmada
Articulação dos Povos Indígenas do Brasil - APIB

MAIAL PAIAKAN KAIAPÓ
Aliança em Defesa dos Territórios

DÉCIO YOKOTA - presença confirmada
Instituto de Pesquisa e Formação Indígena - IEPÉ

RODRIGO AGRA BALBUENO - presença confirmada
WWF Brasil

ESTÊVÃO BENFICA SENRA  - presença confirmada
Instituto Socioambiental - ISA

MARCEL GOMES - presença confirmada
Repórter Brasil",Audiência Pública e Deliberação,81662,"{""nome"":""Anexo II, Plenário 12"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CPOVOS"",""nomePublicacao"":""Comissão da Amazônia e dos Povos Originários e Tradicionais"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/539384"",""codTipoOrgao"":""2"",""nomeResumido"":""Amazônia"",""id"":""539384"",""apelido"":""Amazônia e dos Povos Originários e Tradicionais"",""nome"":""Comissão da Amazônia e dos Povos Originários e Tradicionais""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81662,null
null,2026-05-05T14:00,"Projeto de Lei nº 1.559, de 2021, que dispõe sobre o piso salarial do profissional farmacêutico 
 Convidados:

1) Walter da Silva Jorge João, Presidente do Conselho Federal de Farmácia - CFF (confirmado)

2) Fábio Basílio, Presidente da Federação Nacional dos Farmacêuticos - Fenafar (confirmado)

3) Sergio Barreto, Associação Brasileira de Redes de Farmácias e Drogarias - Abrafarma (confirmado)

4) Marcelo Fernandes de Queiroz, Coordenador da Câmara Brasileira de Produtos Farmacêuticos da Confederação Nacional do Comércio - CNC (confirmado)

5) Midya Souza, Analista técnica em saúde da Confederação Nacional dos Municípios - CNM (confirmada)

6) Rafael Oliveira Espinhel, Presidente  da Associação Brasileira do Comércio Farmacêutico - ABCFarma (confirmado)

7) Associação Nacional de Farmacêuticos Magistrais - Anfarmag

8) Livia Angeli Silva, Coordenadora-Geral de Políticas Remuneratórias e Planejamento da Força de Trabalho na Saúde do Ministério da Saúde (confirmada)


(REQ 6/2026 CFT, do deputado Hildo Rocha; REQ 7/2026 CFT, da deputada Laura Carneiro)",Audiência Pública,81666,"{""nome"":""A Definir"",""predio"":null,""sala"":null,""andar"":null}",null,"[{""tipoOrgao"":""Comissão Permanente"",""sigla"":""CFT"",""nomePublicacao"":""Comissão de Finanças e Tributação"",""uri"":""https://dadosabertos.camara.leg.br/api/v2/orgaos/2010"",""codTipoOrgao"":""2"",""nomeResumido"":""Finanças e Tributação"",""id"":""2010"",""apelido"":""Finanças e Tributação"",""nome"":""Comissão de Finanças e Tributação""}]",Convocada,https://dadosabertos.camara.leg.br/api/v2/eventos/81666,null
